T,th1,16%,50%,84%,Mean,STD
0.02,17.54336431161805,17.54336431161805,17.54336431161805,17.54336431161805,17.54336431161805,0.0
0.04,4.355049253254104,4.355049253254104,4.355049253254104,4.355049253254104,4.355049253254104,0.0
0.06,1.9315580498568978,1.9315580498568978,1.9315580498568978,1.9315580498568978,1.9315580498568978,0.0
0.08,1.1343014387257817,1.1343014387257817,1.1343014387257817,1.1343014387257817,1.1343014387257817,0.0
0.1,0.7723331299881924,0.7723331299881924,0.7723331299881924,0.7723331299881924,0.7723331299881924,0.0
0.12000000000000001,1.1460438558507897,1.1460438558507897,1.1460438558507897,1.1460438558507897,1.1460438558507897,0.0
0.13999999999999999,1.5104999477964582,1.5104999477964582,1.5104999477964582,1.5104999477964582,1.5104999477964582,0.0
0.16,1.522549486463656,1.522549486463656,1.522549486463656,1.522549486463656,1.522549486463656,0.0
0.18,1.5284354142214187,1.5284354142214187,1.5284354142214187,1.5284354142214187,1.5284354142214187,0.0
0.19999999999999998,1.8210381557675526,1.8210381557675526,1.8210381557675526,1.8210381557675526,1.8210381557675526,0.0
0.22,1.2975685821706056,1.2975685821706056,1.2975685821706056,1.2975685821706056,1.2975685821706056,0.0
0.24,1.586784896892037,1.586784896892037,1.586784896892037,1.586784896892037,1.586784896892037,0.0
0.26,2.1019977890277426,2.1019977890277426,2.1019977890277426,2.1019977890277426,2.1019977890277426,0.0
0.28,2.646261461164536,2.646261461164536,2.646261461164536,2.646261461164536,2.646261461164536,0.0
0.30000000000000004,1.7806200403437815,1.7806200403437815,1.7806200403437815,1.7806200403437815,1.7806200403437815,0.0
0.32,1.4771743478528232,1.4771743478528232,1.4771743478528232,1.4771743478528232,1.4771743478528232,0.0
0.34,1.115827707188984,1.115827707188984,1.115827707188984,1.115827707188984,1.115827707188984,0.0
0.36000000000000004,0.9701896030063368,0.9701896030063368,0.9701896030063368,0.9701896030063368,0.9701896030063368,0.0
0.38,1.155634224973945,1.155634224973945,1.155634224973945,1.155634224973945,1.155634224973945,0.0
0.4,1.6692539302575966,1.6692539302575966,1.6692539302575966,1.6692539302575966,1.6692539302575966,0.0
0.42000000000000004,1.443851992596229,1.443851992596229,1.443851992596229,1.443851992596229,1.443851992596229,0.0
0.44,1.2155540473748028,1.2155540473748028,1.2155540473748028,1.2155540473748028,1.2155540473748028,0.0
0.46,1.3944313367310417,1.3944313367310417,1.3944313367310417,1.3944313367310417,1.3944313367310417,0.0
0.48000000000000004,1.839857670766792,1.839857670766792,1.839857670766792,1.839857670766792,1.839857670766792,0.0
0.5,2.13040411757972,2.13040411757972,2.13040411757972,2.13040411757972,2.13040411757972,0.0
0.52,1.9104056278704171,1.9104056278704171,1.9104056278704171,1.9104056278704171,1.9104056278704171,0.0
0.54,1.5608922527374256,1.5608922527374256,1.5608922527374256,1.5608922527374256,1.5608922527374256,0.0
0.56,1.3879114240454127,1.3879114240454127,1.3879114240454127,1.3879114240454127,1.3879114240454127,0.0
0.5800000000000001,1.3938416537527147,1.3938416537527147,1.3938416537527147,1.3938416537527147,1.3938416537527147,0.0
0.6,1.4063791425875791,1.4063791425875791,1.4063791425875791,1.4063791425875791,1.4063791425875791,0.0
0.62,1.4791930545188325,1.4791930545188325,1.4791930545188325,1.4791930545188325,1.4791930545188325,0.0
0.64,1.3902230128046666,1.3902230128046666,1.3902230128046666,1.3902230128046666,1.3902230128046666,0.0
0.66,1.1720254140075315,1.1720254140075315,1.1720254140075315,1.1720254140075315,1.1720254140075315,0.0
0.68,1.1771433010942882,1.1771433010942882,1.1771433010942882,1.1771433010942882,1.1771433010942882,0.0
0.7000000000000001,1.2561875430325147,1.2561875430325147,1.2561875430325147,1.2561875430325147,1.2561875430325147,0.0
0.7200000000000001,1.4786585540552777,1.4786585540552777,1.4786585540552777,1.4786585540552777,1.4786585540552777,0.0
0.74,1.149738361166787,1.149738361166787,1.149738361166787,1.149738361166787,1.149738361166787,0.0
0.76,1.6084498292939682,1.6084498292939682,1.6084498292939682,1.6084498292939682,1.6084498292939682,0.0
