T,16%,50%,84%,Mean,Std
0.01,1.1439963449455747e-06,1.8317551771787268e-06,3.4692728062943814e-06,2.1043918840046302e-06,1.0527701476043774e-06
0.02,4.655015017627815e-06,7.409094130232293e-06,1.4158674600241464e-05,8.819458499934232e-06,4.686580197041844e-06
0.03,1.0865420426920566e-05,1.8386500455719444e-05,3.280805537883206e-05,2.118915398027135e-05,1.18554498837605e-05
0.04,2.0034718257426773e-05,3.5803546201615156e-05,6.351440121025927e-05,4.0073399631204824e-05,2.286583521692491e-05
0.05,3.222996942853727e-05,5.882999561895416e-05,9.750487247657443e-05,6.397326580725038e-05,3.5152312169732736e-05
0.060000000000000005,4.696344282950613e-05,8.374393091839977e-05,0.00015025805766617529,9.835292986174545e-05,5.708693139194246e-05
0.06999999999999999,6.657055597764254e-05,0.0001180770275533632,0.00021587757198446574,0.00014475347971220763,9.201775620978356e-05
0.08,0.00010050231502717518,0.000156469406960455,0.0002904375816124361,0.00019775785260166712,0.0001300204846799143
0.09,0.0001289581365475201,0.00022674827799831727,0.0003737992798901101,0.00026454028562894846,0.00017117114285656161
0.09999999999999999,0.00017285464843675978,0.0003168746149373996,0.0004981997213437629,0.00035058687823909636,0.00022804869028782653
0.11,0.0002174935921014151,0.0004148603408413423,0.0006570944967444559,0.0004614921960166163,0.0003057112978659745
0.12,0.00027285324930668926,0.0005185462734896976,0.0007949416661323529,0.0005955111132547049,0.00039647861077981645
0.13,0.0003461402226006605,0.0006150636992573138,0.001015497306486154,0.0007296055742802674,0.0004812024750169421
0.14,0.00044156861531667184,0.0007256795438285947,0.0011825844444956974,0.0008591405521906925,0.0005616093038014926
0.15000000000000002,0.0005241374942774226,0.0008877105302698818,0.001361107626331581,0.0010136433920378207,0.0006731244945181777
0.16,0.0005434160734202806,0.0009493544186681326,0.0015406973169340911,0.0011690500822621552,0.0007927175253110836
0.17,0.0006227863612966553,0.0010846499330160048,0.0018592042371009796,0.001365895376714864,0.0009221094737172074
0.18000000000000002,0.0007695058666027866,0.00126225995034917,0.0024809494990364056,0.0015712836467986387,0.0010194870565888388
0.19,0.000779458510906277,0.0013200683928069386,0.0027347460861468923,0.0017392849438049424,0.0011622634000916
0.2,0.0009648208284716146,0.0014954935454898981,0.0029931170417957917,0.0019451282459931358,0.0012863398376033093
0.21000000000000002,0.001087594211652341,0.0015584199406992703,0.0033856276312636863,0.002149023402039618,0.001380976388810316
0.22,0.0012081346190528737,0.0018005933634131313,0.0035519040496472605,0.002379077128882019,0.0014887694877138318
0.23,0.001294806759801719,0.0019699249515687965,0.004027072169225677,0.0025868971970104526,0.0016026577885041586
0.24000000000000002,0.001316332272509547,0.00204202312555069,0.004491324303969211,0.002790005296075349,0.0017509201616064624
0.25,0.0014500571408713155,0.0021642048241230314,0.005214003976476937,0.0030756220692411125,0.001914009963404596
0.26,0.0016953461959454443,0.0025739325453581065,0.005608460666433235,0.0033366943050863354,0.0019426980934499512
0.27,0.0018384563969536206,0.002757180156396935,0.005972167742276799,0.0034888748842818395,0.0019164346218587484
0.28,0.0019188154682154967,0.003128310163941871,0.00638101926502594,0.0037305912277663584,0.0019927312360731365
0.29000000000000004,0.001922490801513937,0.0033790215305574975,0.006455116572255856,0.003957714574628264,0.0020743573175356707
0.3,0.0022373950094386036,0.0035759567740465503,0.006629561759430459,0.004231716445473977,0.0022061954235364015
0.31,0.0023344831900475103,0.003927135279025757,0.006904292711360628,0.004494467381884241,0.0023820373861378084
0.32,0.002495086981483221,0.0040584436386073685,0.007417725135163338,0.004793558144982534,0.0025381469148034906
0.33,0.0026901473613662173,0.004415715806312654,0.008096063942770714,0.005085843764931187,0.002678108941266963
0.34,0.002764761218558762,0.0047635649631646475,0.008687867111428188,0.005405423262586501,0.0028776817651048263
0.35000000000000003,0.0027331703668687147,0.005064866500336744,0.008620003766773267,0.0057168647881121635,0.0030984335951686334
0.36000000000000004,0.0026727027269186038,0.005434522950755431,0.009094888232722207,0.006037294320556608,0.0033452945921411473
0.37,0.002811942793184051,0.005629073717953044,0.009898070466423022,0.006352601209098029,0.003495439535600114
0.38,0.0030646225756892965,0.005853913694750945,0.010240103667675662,0.0066559861694701706,0.0035955508914559805
0.39,0.003420821024703702,0.005766522450750312,0.01103053752105202,0.007016122797878133,0.0039075433235186766
0.4,0.0034818895345007177,0.005670493843711533,0.011393265713589434,0.007474315038972726,0.004394469573191624
0.41000000000000003,0.0037132693711290016,0.005850869960863671,0.011857760448309752,0.007876637964100059,0.00494070139013208
0.42000000000000004,0.0038274897605947516,0.006425133546635732,0.012316508207878399,0.008293843708575908,0.005437592686876093
0.43,0.003828401919361187,0.0069132320119040455,0.01293920704811727,0.008715404551917083,0.005800833232309056
0.44,0.004376662904033614,0.0075748745810395035,0.01351925758233,0.009194816370126199,0.006011842538233703
0.45,0.004656418150266533,0.008063989910802042,0.014162358111248866,0.009717499136757514,0.006358686265872586
0.46,0.004442856520103099,0.008432815197269503,0.014494444158195346,0.010138478830331046,0.006634952802900193
0.47000000000000003,0.004680884815593234,0.008587053466267622,0.014518001231232659,0.010545729719064496,0.006854424555010277
0.48000000000000004,0.00521399865683453,0.00899229364634916,0.015328219052996618,0.010854709027536498,0.00701375336368365
