T,16%,50%,84%,Mean,Std
0.01,0.0007187941026029185,0.0011509257215599517,0.0021798083923106545,0.0013222284166125862,0.0006614749923265108
0.02,0.0014624160981729706,0.002327635568929303,0.004448078810868699,0.0027707146032033446,0.001472332591748606
0.03,0.002275648332758541,0.0038508596504609064,0.00687130305044706,0.00443784603201356,0.002482999617321597
0.04,0.003147046184713663,0.005624007885972847,0.00997681881196526,0.006294714894288051,0.003591756996784304
0.05,0.004050137407284652,0.007392795281889044,0.012252823642464635,0.008039117675448194,0.004417369826765097
0.060000000000000005,0.004918000232682023,0.008769643938532528,0.015734987003557594,0.010299494730423055,0.005978129475897031
0.06999999999999999,0.005975359131564283,0.010598569209124727,0.019377125549177126,0.012993041955583732,0.008259494483099218
0.08,0.007893433363953515,0.012289078485462929,0.02281091431800038,0.015531865423077268,0.010211784987165073
0.09,0.009002976319962636,0.015830016097192215,0.026096112702664997,0.01846839595356556,0.011950000108994288
0.09999999999999999,0.010860777873355421,0.019909819247928583,0.031302811691880955,0.022028023222418494,0.0143287218013802
0.11,0.01242320492997565,0.023696767255507612,0.03753314988521209,0.02636037259445133,0.017462188499911758
0.12,0.01428656272549999,0.027151019389026632,0.04162304830589717,0.03118088897553434,0.020759571515522643
0.13,0.016729716622064166,0.029727378447331372,0.049081213504571126,0.035263438648877696,0.02325757169849925
0.14,0.019817553113352475,0.03256842176789007,0.053074265758246406,0.03855813781661939,0.025204966614434957
0.15000000000000002,0.021955020019905503,0.03718433173880214,0.05701394292837781,0.04245939511714475,0.02819577289239534
0.16,0.021339899301247068,0.03728106084176018,0.06050304215357057,0.045908489376416624,0.03112994442361476
0.17,0.023018130087123417,0.040088567779761664,0.06871602791528768,0.050483375071290346,0.03408108645218269
0.18000000000000002,0.02686082197126179,0.044061184299306326,0.08660147466777832,0.054848146238759804,0.035586811637881965
0.19,0.025776222438328417,0.04365386489556172,0.09043640224918437,0.057517103178494164,0.0384353490448849
0.2,0.030310740267568425,0.04698231536002017,0.09403154509840071,0.061108006079020345,0.04041155783834443
0.21000000000000002,0.03254074271822644,0.04662781558960637,0.10129774184922485,0.06429862983085911,0.041318716932070954
0.22,0.034504244034218284,0.05142482620546573,0.10144214244206973,0.06794628391290226,0.042519157140821946
0.23,0.03537178612531726,0.053814797878015304,0.11001235080274172,0.07066936721495708,0.04378172117028808
0.24000000000000002,0.03446149830832625,0.053460040414087626,0.11758259531865801,0.07304216784689109,0.04583898263937596
0.25,0.036443910888373954,0.05439239981062804,0.1310422127063033,0.07729881358357213,0.048104317119436385
0.26,0.04096990118825854,0.06220190442563619,0.1355346063662613,0.08063487935487795,0.0469474312194251
0.27,0.042782823041590035,0.06416249573303828,0.1389786541121684,0.08118980522780567,0.04459745873419687
0.28,0.04305811841814473,0.07019911592278615,0.1431897374672888,0.0837142713906951,0.04471678437018766
0.29000000000000004,0.04165298605951819,0.07321040839118048,0.13985756414803255,0.08574846229418899,0.04494334972200201
0.3,0.046859891498871896,0.07489466353932867,0.13884921679964368,0.08862886198117438,0.0462064488997692
0.31,0.04731609832117499,0.07959651188542335,0.139938550066091,0.09109539166920312,0.048279942921721115
0.32,0.04899091831934513,0.0796873545003571,0.14564669244360937,0.09412129408020405,0.049836398132989033
0.33,0.051220285985103475,0.08407503234819494,0.1541486970036466,0.0968342388437168,0.05099107500240866
0.34,0.05109266784208335,0.08803047466573993,0.1605514087801598,0.09989198830167716,0.05317943466248606
0.35000000000000003,0.04906575968893756,0.09092427079354834,0.15474594575777853,0.10262891668513908,0.05562294982981481
0.36000000000000004,0.04664746251176051,0.0948503187658799,0.15873574476189076,0.10537066380566679,0.05838640508202384
0.37,0.04775123687233393,0.09559057642614416,0.16808489438934412,0.10787721778209733,0.059358092789776405
