T,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18,th19,th20,th21,th22,th23,th24,th25,th26,th27,th28,th29,th30,th31,th32,th33,th34,th35,th36,th37,th38,th39,th40,th41,th42,th43,th44
0.11,0.00017072307755693682,0.00021894701770699555,0.00045645172363070454,0.0005234572322580367,0.00042020255559608536,0.00040276002931459876,0.00022604752870612846,0.00018029578493893156,0.0005838227951101241,0.0004268561753310653,0.00039667650786582686,0.00040951812608659927,0.0005012980659857361,0.0007100326270847747,0.00020683513766049175,0.0002688614534767716,0.0002743732255377003,0.00011441209403663016,0.0006619113183104395,0.00042375885476818965,0.00011419489450332316,0.0001549792658892235,0.0004488625197073589,0.0002238089723309325,0.0003060272598658463,0.0004750429002345181,0.0015922024318248149,0.0004491794623324461,0.0010803894443980517,0.000752205286710169,0.00026090901052443487,0.0001943462511489383,0.00034222982564131665,0.00044570579818219695,0.0003651061771407234,0.0004610481015163832,0.0003481343406820828,0.0003239348263127221,0.0006564376574400036,0.0005369561730228723,0.0003636598057187134,0.0015022649127915968,0.0005901591422897682,0.0007406308335599187
0.12,0.00027332709472003116,0.00029645324658323177,0.000583834389367576,0.0006590309734032163,0.0005640633582329476,0.0004964529079804675,0.00026937838294218206,0.00022460326125363684,0.0007104174389084625,0.0007338701203896158,0.0004242007309142014,0.0005755008411221848,0.0007007499185270831,0.0007913200773714671,0.0002954480796609644,0.00038154896401216887,0.0003754370729273426,0.000186785851476298,0.0008818501424205733,0.0005207658464032906,0.00014696796716927077,0.00020269533182284708,0.0006531197826218579,0.00023614955306497208,0.00036041749781276093,0.0007060586574002941,0.0022871013134658346,0.0005015402176439832,0.0012646470294213207,0.0008260097021579171,0.0003605331360879444,0.00023087357934387768,0.0004637516868004728,0.0007781646408115247,0.0003640361764019152,0.0005959769058618298,0.0005163267005761046,0.00034332964976186564,0.000821499983712183,0.000690901000685806,0.00047456547883650434,0.001789929378272987,0.0007175675210287733,0.0009252873938272276
0.13,0.0003616852639972558,0.0004062246322700811,0.0006764928866175157,0.0007894672737598245,0.0006316687994075163,0.0005707956416500778,0.0003315636845412889,0.00027589290829496183,0.0008960291295045207,0.0007289488612593934,0.0005104614741590587,0.0007437243949603809,0.0008935274899182063,0.0010114505762852054,0.0004166749206941215,0.00043506085811422245,0.00042060081647181326,0.00024077151355749392,0.0012437363425345843,0.0006009515291827441,0.00016971727141832914,0.0002327124511272475,0.001045173327959776,0.00034054434265205243,0.00034690329713910707,0.0009110183463948568,0.0027514061991228654,0.0006242359687504807,0.0017944965662424531,0.0008963727623750687,0.0005105355249924241,0.0002559182931135535,0.00051320525283073,0.001126819520569046,0.00035278107449471127,0.000605891429764147,0.0006287720977355042,0.00037217435167469096,0.0009058283357074521,0.0008670291343357965,0.0005678733606898368,0.0016679119502686272,0.0009803391814605991,0.0014492562303321428
0.14,0.0004762061685627389,0.0004508592166912375,0.0007136233016804213,0.0009575726006491052,0.0006670539840634776,0.000690322853846391,0.0005141370679430444,0.0002547516870789688,0.0010187542473643453,0.0007400651982103237,0.0005540582466510623,0.0009867684365613759,0.0009833961843931946,0.0012694663328658596,0.0005385897492068378,0.0005229906518883765,0.0005169001570411142,0.00027315390377164643,0.00160795507642055,0.0007626570294132158,0.00021204836743309968,0.00032605798027842087,0.0011707369142634027,0.00034177068733814,0.0004719483105840965,0.001106705849014914,0.0029750145718332307,0.0008351890553176422,0.0024160863824716993,0.0009351114168580096,0.0005785155160373819,0.0003037272789189629,0.0007447238798074898,0.0009046400285900045,0.00044056999467007713,0.000737735785976768,0.0006821151343611459,0.0004417047908593893,0.001100387875020347,0.0010056673903888398,0.0005461452490447691,0.0018036449448855338,0.0012801543816654214,0.0019425004164683984
0.15000000000000002,0.0005400032244803233,0.0005566428848072421,0.0008386425647189259,0.0009209095678539777,0.0007814840070649681,0.0007753768655290987,0.0007110576387860145,0.00032287483255374915,0.0012187147894553445,0.000859454608770914,0.0008086866264566008,0.001357113756951107,0.0011308770285694757,0.0014454756948664583,0.000613815049954143,0.0005255631141489104,0.0006261023192598531,0.0003008551433597423,0.0022298767801184477,0.0010210057148548279,0.00020946871789510754,0.0003397723617970656,0.0012422816737215246,0.0003995803933055,0.0005823472373672698,0.0009560160403257087,0.003495905420575197,0.0009306623393427346,0.0029823260036227705,0.0010051357326713699,0.0007110211835213864,0.00042191260397929906,0.0009637561966709746,0.0010146903987458664,0.0005209259389522903,0.0009159664517688496,0.0009537399308864153,0.0005245754336399407,0.001214148345554443,0.0011879681108627085,0.0006726708586527355,0.002295365583516451,0.0013903960017883918,0.0020851440779399914
0.16,0.0006140443988028604,0.0006433447069790837,0.000925848010984514,0.0013155903657695845,0.0008886294123152506,0.0008275881867743843,0.0007512792725753955,0.00043535977432406994,0.0011437179827916621,0.0009219152755322324,0.001234716222356523,0.0016682755600459023,0.001472870276797589,0.0013705041030661008,0.0006100282430826984,0.0005487963152029765,0.0007724966090896065,0.0003248025620344727,0.002995843244080918,0.0009780444516022959,0.0002709380691375801,0.0004148107955779038,0.001530698998202151,0.00048239390868279607,0.0004915038358206282,0.0008987824027165677,0.0040003316081088985,0.0009812513935563729,0.002932453423015818,0.0011900186358713616,0.0007459183649028297,0.000503960967013844,0.0009728608263517512,0.0010487579526303294,0.0007254641760558187,0.0011245147463669963,0.0013006429202756555,0.0005611138999452078,0.0016140183209683201,0.001394389324148888,0.0007377506329078655,0.002695228025549202,0.001512250975365085,0.002864454442154835
0.17,0.0006937391959632822,0.0007209544470819671,0.00103822329322455,0.0015070355227481279,0.0011722057011969577,0.0009277288218538354,0.0008480235814982777,0.000487965153325566,0.0012338666408102798,0.0009495266972294307,0.00169686716856047,0.002328696178450492,0.0017722629120964016,0.0017388065055342406,0.0007735790062357939,0.0005880135989745284,0.0008102098974316023,0.0003959194162367317,0.003671544259564608,0.0010523489960762044,0.00033537324393672637,0.0005588357115625407,0.0018509256388026737,0.0005799348991150159,0.0005996242834651696,0.0010418458335569637,0.0047957206187958686,0.001116950869955805,0.0035402880569383685,0.0013604039834882006,0.0008593957643881432,0.0006259448264554942,0.0011662212045797258,0.0012484245882025517,0.0008727403490886258,0.0014828267018209813,0.0015019281212687902,0.000695749344403087,0.0019199139579552243,0.0016143993882443376,0.000946366373845835,0.0025177256749841525,0.001443429375462571,0.00301691077104381
0.18000000000000002,0.0008070349838619897,0.0008658783778779689,0.001216028045820067,0.0018164395621879583,0.0014907014047337598,0.000943946457567439,0.0009416870227897194,0.0005607424865781062,0.0018179870679176013,0.0011061687892701727,0.0019926690898059178,0.0029089095204289767,0.0017911039444660738,0.002473443951753594,0.0007878878081134593,0.0005985868242229001,0.0011704624993402759,0.0004239872628972741,0.0034141584750513594,0.0011093029608153875,0.00038978861921751896,0.0006059844729464304,0.0025359901791103603,0.0006913925744712839,0.0007248422012813495,0.0013853741488718397,0.005814823943170501,0.001119711959186439,0.003593890196714227,0.0015155612056387698,0.0011011519919656,0.0007820644664745624,0.0012405207310720503,0.0015581800638161214,0.0008877458362321801,0.0017604591816287056,0.0014816239557763785,0.0007755963664193462,0.0023153924849588633,0.0018797749723453553,0.0012839991696262897,0.002675465893658929,0.0019343570718420079,0.0028456622372149925
0.19,0.0009315460801582521,0.0009704326483374434,0.0012352618787190186,0.002172700667381383,0.0020135328260109317,0.0009672000075010131,0.0009790792568534405,0.0006540199295544969,0.001901702110054865,0.0011710776139864888,0.0021238836322381967,0.0025469959914976898,0.002978056228654365,0.0025839757765061737,0.0007299866734295836,0.0006777470898577366,0.001312709212854583,0.0004722963157016642,0.004179897744227003,0.0012824232379700224,0.000412009731448828,0.0007086268964787673,0.0031663596360209023,0.0007461554596493496,0.0009132052602815549,0.0013708123481079853,0.006532307096559201,0.0012677919549336522,0.003937845824869216,0.0016393462465131522,0.0012929194073701565,0.0007839998360776762,0.0011690808968982506,0.0016254744939917269,0.0008670233531698685,0.002078851496595889,0.0013729948082333316,0.000865630847771266,0.0027199903025913455,0.0020325920306770045,0.0013274275727592942,0.002905663787459599,0.002064948151910875,0.0028429551655542373
0.2,0.0010153794493337417,0.0010373926710439735,0.0015657022354299678,0.002592214716236035,0.0024630416640891413,0.0010713498316418163,0.0011590549385948903,0.0009724934398102888,0.0017150059451673317,0.0010557147977085098,0.0021671287778303986,0.002626424427826601,0.004054708908741374,0.0029523467503294347,0.0008269696899884407,0.0009085550119880035,0.0012165360616661904,0.0005450124165849296,0.004390338807096241,0.001520491943159475,0.00043436556073901553,0.0008275166616119839,0.003508620532752435,0.0008650637319281429,0.001075350439313528,0.0014704951478203211,0.00739315825016302,0.0019425096201005976,0.003809912192397482,0.0017397155733425878,0.0013733773031257687,0.0008966552365278749,0.001323968110128082,0.002214921774575777,0.001167911755422806,0.002042355300732837,0.0014073414602194917,0.0010380568397613868,0.0032920991792157487,0.002133340005453538,0.001314741927180762,0.003338004842878895,0.002184572409231796,0.002935726484807313
