T,Sa,E,Fy,uy,R,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge,iter_converge,n_iter,miu,tol_ductility,tol_R
0.02,0.34900783501147,98696.04401089359,3178.729072239699,0.03220725920776365,1.07598876953125,0.06446341922099723,1.7817976687281436,3287.561208468145,100.9469808599214,30.465606003239465,3287.561208468145,3.1541921689251478,0.03225616001323358,-0.03161128415173385,1.0,1.0,16.0,2.001518316263873,0.0007591581319366103,0.0005670863105364637
0.04,0.36802586613022054,24674.011002723397,3106.9672826457663,0.12592064104627473,1.16082763671875,0.2520007459919028,7.664900169991701,3226.8785528050003,385.96872050112574,489.1850638489074,3226.8785528049993,17.829403778562746,0.12608010494562807,-0.12355834928543374,1.0,1.0,16.0,2.0012663841132667,0.0006331920566333693,0.0005256518082422204
0.06,0.4028094261612955,10966.22711232151,3104.3664420956766,0.2830842741354181,1.2716064453125,0.566212156298845,16.448765763450368,3231.2113851118297,918.0701031551184,1983.697587794849,3231.2113851118297,46.94667510788539,0.3056146221451287,-0.27746398599785216,1.0,1.0,15.0,2.0001540460986114,7.702304930568005e-05,0.0009595087315294569
0.08,0.4314821515287151,6168.502750680849,3444.374813181634,0.5583810127670708,1.2276611328125,1.1160032878115662,26.679262661195363,3600.5200541565328,1847.9102522825335,6051.266169502073,3600.520054156533,97.97052126921659,0.5576222750444955,-0.546497171537567,1.0,1.0,15.0,1.9986411828030912,0.0006794085984543896,0.0009938382031405286
0.1,0.5168650750590433,3947.8417604357433,3658.5042505607557,0.9267099525683492,1.384521484375,1.852751952118036,52.6483721890493,3911.1960269014135,5016.884938550741,15968.260551948768,3911.1960269014135,174.95825677859378,1.4248655712606013,-0.9074669449138472,1.0,1.0,15.0,1.9992792210585295,0.0003603894707352451,0.0017618040873854828
0.12000000000000001,0.6970004835611465,2741.5567780803767,5149.196100217405,1.8782015172499342,1.3265380859375,3.754212176010108,96.24204412095496,5541.709870901734,13401.24656367545,50590.38280908504,5541.709870901734,335.2709368326389,2.702457350020884,-1.5824034691228734,1.0,1.0,15.0,1.9988335338515921,0.0005832330742039371,0.000919793966151582
0.13999999999999999,0.8973605301924648,2014.2049798141552,5744.023213259398,2.851757031098882,1.531005859375,5.705278384048919,144.59127129423865,6261.425387097204,41675.94654808067,108247.78214815394,6261.425387097203,538.9944162383056,7.536367883173758,-1.5043827748954166,1.0,1.0,15.0,2.0006186788817963,0.0003093394408981709,0.0015933715742511153
0.16,1.184445806308434,1542.1256876702123,6355.380593752919,4.12118197924217,1.826416015625,8.240310057819231,191.06970753713682,6905.676398408881,55668.19494106996,197407.1462876087,6905.676398408881,761.6240798624091,9.082073376880636,-2.3151625850053703,1.0,1.0,15.0,1.9995016233994387,0.000249188300280645,0.0013358268768367619
0.18,0.8932640921285063,1218.4696791468346,5908.599368758663,4.84919688185908,1.4815673828125,9.69546409911477,200.5625648274247,6488.205164011455,47924.48777236513,177379.8901616381,6488.205164011455,776.3221116881809,8.321543725225512,-4.752075456951195,1.0,1.0,15.0,1.9993958453998124,0.00030207730009379485,0.000823587547356284
0.19999999999999998,0.921214201310202,986.960440108936,5903.771854706243,5.981771522731562,1.5291748046875,11.964550355734161,228.57263377441421,6485.543218282665,39789.48585902498,171613.94528151036,6485.543218282665,791.371846811982,6.936536246456162,-5.426106696040687,1.0,1.0,15.0,2.000168396647583,8.419832379158443e-05,0.0007979572294924992
