T,E,Fy,uy,Sa,R,miu,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge
0.02,98696.04401089359,9800.0,0.09929475996949101,1.75951710343823,1.75951710343823,42.981403566974244,4.267828150334532,187.47125928747533,21726.19783333032,-490828.8462116874,845690.4949858222,21726.19783333032,842.6388489474355,686.024650067732,0.3845920038182236,0.0
0.04,24674.011002723397,9800.0,0.39717903987796405,2.5666721867531592,2.5666721867531592,13.758546072531761,5.464606119204898,228.76659647384426,13959.847901250854,218430.22777367785,242205.8630597683,13959.847901250854,393.19543769391055,129.8783176857554,-0.2167874627382113,0.0
0.06,10966.22711232151,9800.0,0.8936528397254191,2.602367932467491,2.602367932467491,5.697298942797502,5.091407378995616,143.09511765046753,11756.27616115939,325675.323236185,170282.7328226576,11756.27616115939,589.9893894220253,42.31730432007328,-0.8116682459840777,1.0
0.08,6168.502750680849,9800.0,1.5887161595118562,2.7300960513943635,2.7300960513943635,7.66382449331444,12.175641816191414,247.76736675406536,11960.187295193551,538112.4799237222,309953.27820745826,11960.18729519355,955.4310963708465,64.18949759237427,-0.1548573112759749,1.0
0.1,3947.8417604357433,9800.0,2.4823689992372757,2.94799826875699,2.94799826875699,4.97523809143262,12.350376801996767,292.761289728812,11505.344036690116,1010217.3556801461,598294.8172612577,11505.344036690109,1486.0599686200528,118.59828879800799,2.877326261644474,1.0
0.12000000000000001,2741.5567780803767,9800.0,3.5746113589016772,3.467101635389237,3.4671016353892377,4.9283954724629035,17.617098437025493,367.47942022566724,11490.264615362456,1512513.9349542237,888269.708494674,11490.264615362461,2059.247117271368,169.29490878947178,-1.4525014504732656,1.0
0.13999999999999999,2014.2049798141552,9800.0,4.865443238505059,4.8664932232356595,4.8664932232356595,5.342603153957758,25.994132391439578,408.8663001480892,11771.717890406908,1926572.2433956873,1250679.947432689,11771.71789040691,2621.8754502561546,216.83388708789582,0.4922985754014514,1.0
0.16,1542.1256876702123,9800.0,6.354864638047425,4.522211751529136,4.522211751529136,4.933341150511163,31.35071522480759,450.7208983500119,11633.06515840891,2262010.5316589265,1407803.6878495638,11633.065158408901,2998.219142054539,250.02795143792136,-7.189591535814288,1.0
0.18,1218.4696791468346,9800.0,8.042875557528772,4.379046234879338,4.379046234879338,4.889695721276381,39.32721420040683,508.18144267432814,11709.466682574808,2237191.553509797,1672557.4488746393,11709.466682574803,3376.742975458234,244.7761274822093,-17.03138416419277,1.0
0.19999999999999998,986.960440108936,9800.0,9.9294759969491,3.7602326141850213,3.7602326141850213,3.561085679021759,35.35971477292574,554.672307917615,11501.506191694545,2187995.6515322123,1904210.7823213183,11501.506191694545,3827.254494941037,239.58155063047897,-19.941438326233246,1.0
0.22,815.6697852139966,9800.0,12.014665956308413,3.218493263531603,3.218493263531603,4.083984201830925,49.0677059558394,601.1673721831876,11482.14645835654,2338836.1690937686,1940517.9988822779,11482.146458356554,3891.325827607241,252.85201495815144,-26.97823845064246,1.0
0.24,685.3891945200944,9800.0,14.298445435606705,2.9189587516642295,2.9189587516642295,2.9298593814891265,41.892434500222684,645.0623210751255,11296.5051983298,2045790.514066994,1886901.4491620727,11296.505198329804,4018.749821714443,218.90490197109682,-15.119725655068857,1.0
0.26,584.0002604194887,9800.0,16.780814434843982,2.888647353686181,2.888647353686181,2.967483176989161,49.7967845315764,667.2370518592055,11357.774310186338,1886282.868984406,2049701.0389775005,11357.774310186338,4345.687525488227,203.63779705204138,-20.347296868284428,1.0
0.28,503.5512449535385,9800.0,19.461772954020248,2.7477291910624855,2.7477291910624855,2.744603684128767,53.41485374928157,708.4189944767038,11214.376180639889,1557037.4691053275,2107031.560485829,11214.376180639876,4452.192647278757,166.92274966086987,-19.037526563533277,1.0
0.30000000000000004,438.64908449286025,9800.0,22.341320993135486,2.7786512229673477,2.7786512229673477,2.256468847491145,50.412494832810154,720.4915200786862,11043.560687342935,1719256.0037734383,2349107.8748862618,11043.560687342933,4850.602753520777,183.3008658604848,-10.896891730057998,1.0
0.32,385.5314219175531,9800.0,25.4194585521897,2.80400561692545,2.80400561692545,2.1969821078817495,55.846095631202495,776.6050084669649,11069.680684228142,2264521.181384668,2796379.2779195975,11069.680684228144,5568.868938875856,242.31049089339635,-5.6992471079314475,1.0
0.34,341.50880280586006,9800.0,28.696185631182914,3.0521412994103976,3.0521412994103976,2.5509482858185786,73.20248554539778,848.1750804335683,11171.990538822023,2421272.767500609,2879347.0314160557,11171.990538822021,5708.7799916752165,256.9212581867773,-0.29976143215307927,1.0
