T,E,Fy,uy,Sa,R,miu,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge
0.02,98696.04401089359,9800.0,0.09929475996949101,1.026852857211722,1.026852857211722,1.3087239538667113,0.12994943086551833,5.483905886610976,9891.886188634478,308.7215304555409,365.1226644479394,9891.886188634477,12.914572791450665,0.032062753101701744,0.02869860649941914,1.0
0.04,24674.011002723397,9800.0,0.39717903987796405,1.1142866410769703,1.1142866410769703,1.3939571627772598,0.5536505675428829,30.569728181711902,9933.692308299554,3149.861609393651,7644.693274512497,9933.692308299527,86.50882991531172,0.32779521631555425,0.11515466743588071,1.0
0.06,10966.22711232151,9800.0,0.8936528397254191,1.2637919914539988,1.2637919914539988,1.8244045257829455,1.630384285273836,71.62899883152195,10182.67035002388,8275.768826680665,31793.151581223723,10182.670350023876,207.49946730186764,0.8569017099179848,0.721920753940371,1.0
0.08,6168.502750680849,9800.0,1.5887161595118562,1.5029249697889342,1.5029249697889342,2.9584882488873583,4.700198088733281,118.8221809456375,10441.443727784896,44221.26834245006,82067.43749744147,10441.443727784897,406.3700914961135,4.586914955317764,1.8384325450027377,1.0
0.1,3947.8417604357433,9800.0,2.4823689992372757,1.48734623504235,1.48734623504235,2.5859999323830682,6.419406064177419,163.92189701907364,10406.117628405435,95986.60894325134,162860.45183614257,10406.11762840538,611.677140306366,10.006640250136499,0.7354799975175167,1.0
0.12000000000000001,2741.5567780803767,9800.0,3.5746113589016772,1.7905649669453385,1.7905649669453387,3.700162213049837,13.226641876546715,221.57227587713584,10753.082239933055,202987.0648314928,374440.8188370286,10753.082239933105,1056.6803949093883,21.114818519411376,3.92345143925081,1.0
0.13999999999999999,2014.2049798141552,9800.0,4.865443238505059,2.3581041227616018,2.3581041227616018,4.454544617247566,21.673333988606277,300.185270615043,11243.258786461029,675019.2113626405,618722.6509261942,11243.258786461322,1430.4828065069798,70.33676085357754,1.718297554309013,1.0
0.16,1542.1256876702123,9800.0,6.354864638047425,2.3605302452185972,2.3605302452185972,3.0962265722128017,19.676100755137924,329.1833237827916,11016.600432780902,1144324.8679382855,840976.3461407943,11016.60043278084,1762.2375148055132,119.24170911436714,-0.18583272957248562,1.0
0.18,1218.4696791468346,9800.0,8.042875557528772,3.090027139860122,3.090027139860122,3.476827101181495,27.96368770984626,416.0510234970793,11145.745742540053,1282021.9187920187,896785.7115679504,11145.74574253958,1871.687754674569,133.56950608790558,1.5154981275910875,1.0
0.19999999999999998,986.960440108936,9800.0,9.9294759969491,3.4628696651805924,3.462869665180592,3.2512539497588224,32.28324805411618,492.8619400434919,11130.328995176576,1450225.6222002534,1063539.8864099006,11130.328995176398,2160.6772864660793,151.0230247541549,7.425057191723568,1.0
0.22,815.6697852139966,9800.0,12.014665956308413,2.7070386135493485,2.7070386135493485,3.075234972539669,36.94792093222139,577.2880273683832,11301.675000483132,1787822.962729337,1181119.015463371,11301.675000482952,2280.349466964506,185.8983193204813,20.231158841515168,1.0
0.24,685.3891945200944,9800.0,14.298445435606705,3.541657395878288,3.541657395878288,3.048964156731669,43.595447630148385,682.9789103663235,11437.855545935325,2129501.885845402,1466690.114533286,11437.855545934806,2592.646717490738,221.77245018313687,5.371913239952045,1.0
0.26,584.0002604194887,9800.0,16.780814434843982,3.8922120848316495,3.8922120848316495,2.6906721717966056,45.15167041991749,726.4833318723643,11392.023473029192,2182365.022934525,1616515.154666682,11392.023473029072,2855.9397518411597,227.17083380880024,-17.196419881886648,1.0
0.28,503.5512449535385,9800.0,19.461772954020248,3.6858998454797787,3.6858998454797782,2.791742557128161,54.33225979290417,766.862688935053,11330.64993415869,2108019.65226453,1557889.3938386277,11330.649934158608,2866.692495436231,219.49902927238028,-11.852506623521062,1.0
0.30000000000000004,438.64908449286025,9800.0,22.341320993135486,3.8881847201100945,3.8881847201100945,3.0368640896272217,67.84755543888794,839.7401754106229,11459.1893225946,2215892.1393472194,1842367.0459915597,11459.189322593613,3309.2112948833724,230.7114326460478,4.8319771190753675,1.0
0.32,385.5314219175531,9800.0,25.4194585521897,3.893469747972375,3.8934697479723748,2.7958478856885947,71.06893944848844,892.5635424367076,11284.155925361076,2377584.983513913,1954299.5243274088,11284.155925361412,3474.1342858670396,247.60907467035003,6.65577327464914,1.0
0.34,341.50880280586006,9800.0,28.696185631182914,3.7732384246466495,3.77323842464665,2.9097954041589515,83.50002906650819,945.5271790743766,11346.664633894,2272761.338083718,1988332.1909247558,11346.664633892118,3473.1879031872318,236.62095789110333,15.695139787269047,1.0
0.36000000000000004,304.6174197867085,9800.0,32.171502230115095,3.513315298713901,3.513315298713901,2.2007418485196464,70.80117128755742,984.764916925935,11400.161789297537,2148476.8904792517,2065693.3322128544,11400.161789298518,3584.2004226168947,223.65402490655558,17.778130204785796,1.0
0.38,273.39624379748915,9800.0,35.84540834898626,3.0830452891214,3.0830452891214,3.1421345395746076,112.63109565850574,1024.901702920676,11582.49444271655,2203925.5734721823,2174924.449348132,11582.49444271644,3703.204341160379,229.52679730887135,-1.8276144011201854,1.0
0.4,246.74011002723395,9800.0,39.71790398779641,2.798109719157362,2.798109719157362,3.2020690624618315,127.1794715851523,1071.8722072246615,11553.637810643208,2422375.2673356677,2360088.4860524633,11553.637810644206,4026.3569566630736,252.04364826909216,-25.829926687988866,1.0
