T,E,Fy,uy,Sa,R,miu,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge
0.02,98696.04401089359,9800.0,0.09929475996949101,2.104777866233721,2.104777866233721,42.777931383249374,4.247624428691103,206.19044342197796,20412.9280935133,349043.99702799186,127837.49778516409,20412.928093513267,48.27221647795786,36.497143380372506,-0.2301363217679943,1.0
0.04,24674.011002723397,9800.0,0.39717903987796405,2.3858589102113728,2.3858589102113728,31.672596234903047,12.579691363021212,328.7526152339857,16802.827500786087,682938.3926625062,204346.56749104682,16802.827500786094,134.03843356929272,71.26382793270342,0.6936771677966242,1.0
0.06,10966.22711232151,9800.0,0.8936528397254191,2.809636167858939,2.809636167858939,24.620929865437937,22.002563890928993,423.4588603063162,15798.235881524513,965797.145668029,276693.6587623103,15798.235881524752,242.344214083262,100.63310025931189,2.6382558701151924,1.0
0.08,6168.502750680849,9800.0,1.5887161595118562,3.2624239140711104,3.2624239140711104,20.404067471958637,32.416271712470916,495.18586697649926,15147.106736598424,1437198.8994114618,413860.6384307693,15147.106736598254,430.0185441132445,150.18600532003558,2.8856161518550767,1.0
0.1,3947.8417604357433,9800.0,2.4823689992372757,4.689878814635712,4.689878814635712,16.4184482863508,40.7566470416176,541.0783410987963,14470.085634093628,1899306.4953392374,578778.3960207744,14470.085634093839,716.8504329060761,198.49305921843776,2.1751145762515374,1.0
0.12000000000000001,2741.5567780803767,9800.0,3.5746113589016772,6.270218108088794,6.270218108088794,16.057655337976623,57.39987716845938,589.0207528719018,14589.020945397031,2500808.3012671615,861737.8155431421,14589.020945396634,1066.7870495984046,261.1380744036146,7.49472186274575,1.0
0.13999999999999999,2014.2049798141552,9800.0,4.865443238505059,5.992289165606168,5.992289165606168,13.90659947677117,67.66177039485429,620.1319531256688,14213.543112942169,2943879.0692823185,1035818.6899561769,14213.543112941792,1356.6393517661577,307.1342236078277,13.254482700260828,1.0
0.16,1542.1256876702123,9800.0,6.354864638047425,6.16901413206382,6.16901413206382,12.911445907927115,82.05049102634815,671.5536652358212,14089.568586484405,3374840.2074228222,1211177.7681244237,14089.568586485297,1619.0644498709453,351.88129148741734,20.1596175150401,1.0
0.18,1218.4696791468346,9800.0,8.042875557528772,7.085186664330287,7.085186664330286,9.686247824076744,77.9052858684331,707.3158078941834,13423.888097721207,3553411.6678104927,1367412.934292603,13423.888097721458,1875.90986553044,370.19652646682937,23.88345840846457,1.0
0.19999999999999998,986.960440108936,9800.0,9.9294759969491,7.296754720375905,7.296754720375906,7.633433346752596,75.79599319089073,744.0286437624011,12885.586431601329,3522762.6955477116,1397894.1065608668,12885.586431601707,1999.7751627937596,366.67962082576236,26.32935195298018,1.0
0.22,815.6697852139966,9800.0,12.014665956308413,7.059309422738901,7.0593094227389,7.212364601616317,86.65415144352345,792.30966660085,12849.38338547778,3443591.781383199,1335956.2707459868,12849.383385478257,1945.3569444754605,358.2815745601045,34.11120561320089,1.0
0.24,685.3891945200944,9800.0,14.298445435606705,6.294621028196333,6.294621028196333,7.033927247389316,100.57422494482341,891.5505311374342,12906.285489902588,3363530.280410232,1433400.7444445193,12906.285489902059,2149.391349257083,349.84549629281787,36.978804927460686,1.0
0.26,584.0002604194887,9800.0,16.780814434843982,5.045949780649339,5.045949780649339,6.769094060151434,113.59091131540585,985.1987164382895,12903.82152142189,3496425.401938014,1651963.3589488878,12903.821521421985,2686.734171899325,363.2135677981325,45.92231250465529,1.0
0.28,503.5512449535385,9800.0,19.461772954020248,4.528987395399331,4.528987395399331,6.1680475410247135,120.04114081302586,1084.5820373277977,12840.842652642154,3659971.4382931697,1929152.9211279307,12840.842652642625,3137.89402254559,380.8996721886592,36.31484834721153,1.0
0.30000000000000004,438.64908449286025,9800.0,22.341320993135486,3.836551170113989,3.8365511701139887,5.256251549298488,117.43160308354324,1191.5467821148172,12722.127802578201,3687891.875494005,2073890.8253596686,12722.127802578145,3322.868868487717,384.31094355385,14.409972914639017,1.0
