T,Sa,E,Fy,uy,R,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge,iter_converge,n_iter,miu,tol_ductility,tol_R
0.02,0.5983609586274878,98696.04401089359,5122.865787482238,0.051905482522853714,1.1446595788002014,0.20762182885010047,4.223789679884199,5500.418055891018,803.2375593212478,45.29973440334347,5500.418055891018,2.8123831287095085,0.15571634632724676,-0.15259183828496184,1.0,1.0,26.0,3.9999980495063436,4.876234140915869e-07,5.207192632697233e-07
0.04,0.629942514500548,24674.011002723397,5009.7827407846335,0.20303884683490164,1.2322763204574585,0.8121540595976198,11.411923788827279,5436.359393430005,3065.693723690808,345.93099993286665,5436.359393430004,11.669158487127937,0.6091152127627182,-0.5968948173056428,1.0,1.0,25.0,3.999993460650474,1.6348373814700778e-06,9.673904294903941e-07
0.06,0.7346482409576243,10966.22711232151,5068.648218428424,0.46220529326201504,1.420408844947815,1.8488198234153934,22.94295441398764,5528.065445192333,7054.261445454996,1559.8265514814095,5528.065445192333,32.389629448647916,1.3866145301533783,-1.3588342628578594,1.0,1.0,25.0,3.9999970800146896,7.299963276086174e-07,8.392600479150346e-07
0.08,0.9067900943666787,6168.502750680849,5266.385230673536,0.8537542161413899,1.687408447265625,3.4150169843639633,49.59895179978077,5785.3966456752,13522.511736498225,4488.730415107477,5785.396645675195,64.03813296341256,2.5612627682225733,-2.510000352232721,1.0,1.0,25.0,4.000000140319545,3.507988632911463e-08,0.00018083836666787226
0.1,0.8041076434974007,3947.8417604357433,4988.525967546972,1.263608389155994,1.5796760320663452,5.054433608137653,55.463369517624756,5500.67467125254,19021.64215958327,9146.283730030073,5500.67467125253,111.87861566479975,3.7908252189816585,-3.714699945703447,1.0,1.0,25.0,4.000000040767121,1.019178030858825e-08,7.546436240763917e-07
0.12000000000000001,1.063038070751919,2741.5567780803767,5520.723618007421,2.013718505539397,1.8870303630828857,8.054874009515146,103.41785292543702,6153.200770244054,34570.11683010097,23533.19680931682,6153.200770244063,198.9532681714511,6.291650615177714,-5.920316537882607,1.0,1.0,25.0,3.9999999937218425,1.569539387347163e-09,1.2634583584340394e-06
0.13999999999999999,1.0337561861681082,2014.2049798141552,5529.683449067813,2.745342953912278,1.8320778608322144,10.981372638850363,126.83631960874187,6176.540744665664,46539.984427200194,40693.309772610766,6176.540744665669,293.62312637272476,8.441455853324243,-8.071202018963492,1.0,1.0,25.0,4.000000299853703,7.496342568913406e-08,6.506778631843082e-07
0.16,0.9604276163627049,1542.1256876702123,5124.569345558039,3.3230555631947567,1.8366793394088745,13.292225025462498,145.788246646046,5699.761672440623,94623.85928200606,81202.66696076911,5699.7616724406225,475.3138135735925,18.64291281090638,-9.771062777534105,1.0,1.0,25.0,4.000000834377704,2.0859442595444477e-07,6.490477042274035e-07
0.18,1.35771293376983,1218.4696791468346,5338.488800552297,4.381306233479914,2.4923882484436035,17.525219787390743,222.1333076660575,6120.11118530092,149731.38857572817,121019.24423412506,6120.111185300914,630.3346153203813,28.389835147324575,-12.883557592793718,1.0,1.0,24.0,3.9999988253437126,2.936640718376182e-07,1.9131718437734484e-06
0.19999999999999998,1.2159516476622476,986.960440108936,5826.151072754512,5.90312522770563,2.045317053794861,23.612501798485074,264.7591061361727,6708.749905346338,262868.88224038767,207296.09387410717,6708.749905346303,858.6085037326812,45.9095797120177,-16.527518338979426,1.0,1.0,25.0,4.000000150371629,3.759290723159836e-08,5.828399787193467e-07
